TimeCreated,id,Symbol,Name,Sector,Deleted,Info,TimeDeleted,TimeModified,Creator
019-12-30 19:30:30.083803,232,LT,Hilton Worldwide Holdings Inc,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,233,OLX,Hologic,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,234,D,Home Depot,Consumer Discretionary,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,235,ON,Honeywell Int'l Inc.,Industrials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,236,RL,Hormel Foods Corp.,Consumer Staples,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,237,ST,Host Hotels & Resorts,Real Estate,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,238,PQ,HP Inc.,Information Technology,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,239,UM,Humana Inc.,Health Care,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,240,BAN,Huntington Bancshares,Financials,0,,,2019-12-30 19:30:30.107017,
019-12-30 19:30:30.083803,241,II,Huntington Ingalls Industries,Industrials,0,,,2019-12-30 19:30:30.107017,
